sep=\t
Module Resource Usage Distribution Estimates
Generated at: Jul 22, 2025 12:01:11

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
     +syncreg_25:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_26:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +genblk2.depack40bit_inst:efx_csi2_depack40bit_395e1dacd0ee459c8121d2c050c73db8	     51(51)	       0(0)	       0(0)	   130(130)	     0(0)	     0(0)	     0(0)	
     +genblk3.depack48bit_inst:efx_csi2_depack48bit_395e1dacd0ee459c8121d2c050c73db8	     75(75)	       0(0)	       0(0)	   218(218)	     0(0)	     0(0)	     0(0)	
     +genblk4.depack56bit_inst:efx_csi2_depack56bit_395e1dacd0ee459c8121d2c050c73db8	     85(85)	       0(0)	       0(0)	   235(235)	     0(0)	     0(0)	     0(0)	
     +genblk5.depack64bit_inst:efx_csi2_depack64bit_395e1dacd0ee459c8121d2c050c73db8	     33(33)	       0(0)	       0(0)	     52(52)	     0(0)	     0(0)	     0(0)	
     +u1_inst:efx_fifo_top_395e1dacd0ee459c8121d2c050c73db8(MODE="FWFT",DEPTH=1024,DATA_WIDTH=64,OPTIONAL_FLAGS=0,PROGRAMMABLE_FULL="NONE",PROG_FULL_ASSERT=1024,PROG_FULL_NEGATE=1024,PROG_EMPTY_ASSERT=1,PROG_EMPTY_NEGATE=1)	     114(0)	       0(0)	      33(0)	     261(0)	     0(0)	     7(0)	     0(0)	
      +genblk2.genblk1.efx_resetsync_wr_rst:efx_resetsync_395e1dacd0ee459c8121d2c050c73db8(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +active_high.efx_resetsync_active_high:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +genblk2.genblk1.efx_resetsync_rd_rst:efx_resetsync_395e1dacd0ee459c8121d2c050c73db8(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +active_high.efx_resetsync_active_high:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +xefx_fifo_ram:efx_fifo_ram_395e1dacd0ee459c8121d2c050c73db8(WR_DEPTH=1024,RD_DEPTH=1024,WDATA_WIDTH=64,RDATA_WIDTH=64,WADDR_WIDTH=10,RADDR_WIDTH=10,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	   202(202)	     0(0)	     7(7)	     0(0)	
      +xefx_fifo_ctl:efx_fifo_ctl_395e1dacd0ee459c8121d2c050c73db8(SYNC_CLK=0,MODE="FWFT",WR_DEPTH=1024,WADDR_WIDTH=10,RADDR_WIDTH=10,ALMOST_FLAG=0,PROG_FULL_ASSERT=1024,PROG_FULL_NEGATE=1024,PROGRAMMABLE_EMPTY="STATIC_DUAL",PROG_EMPTY_ASSERT=1,PROG_EMPTY_NEGATE=1,HANDSHAKE_FLAG=0,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	    110(66)	       0(0)	     33(33)	     59(19)	     0(0)	     0(0)	     0(0)	
       +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_395e1dacd0ee459c8121d2c050c73db8(WIDTH=11)	       0(0)	       0(0)	       0(0)	     10(10)	     0(0)	     0(0)	     0(0)	
       +async_clk.xrd2wr_addr_sync:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=11,ACTIVE_LOW=0)	     22(22)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +async_clk.xrd2wr_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8(WIDTH=11)	       0(0)	       0(0)	       0(0)	      10(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
                +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
       +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_395e1dacd0ee459c8121d2c050c73db8(WIDTH=11)	       0(0)	       0(0)	       0(0)	     10(10)	     0(0)	     0(0)	     0(0)	
       +async_clk.wr2rd_addr_sync:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=11,ACTIVE_LOW=0)	     22(22)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8(WIDTH=11)	       0(0)	       0(0)	       0(0)	      10(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
                +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
 +u_Row_Line_Counter:Row_Line_Counter                       	     23(23)	       0(0)	     20(20)	     25(25)	     0(0)	     0(0)	     0(0)	
 +u_afifo_w32r8_reshape:afifo_w32r8_reshape                 	      80(0)	       0(0)	      38(0)	      32(0)	     0(0)	    16(0)	     0(0)	
  +u_efx_fifo_top:efx_fifo_top_9f54396145b74975ae3dbe247cfd03f0(FAMILY="TITANIUM",MODE="FWFT",DEPTH=4096,OPTIONAL_FLAGS=0,PROGRAMMABLE_FULL="NONE",PROG_FULL_ASSERT=4,PROG_FULL_NEGATE=4,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=0,PROG_EMPTY_NEGATE=0,ASYM_WIDTH_RATIO=2,ENDIANESS=1,OVERFLOW_PROTECT=0,UNDERFLOW_PROTECT=0)	      80(0)	       0(0)	      38(0)	      32(0)	     0(0)	    16(0)	     0(0)	
   +genblk2.genblk1.efx_resetsync_wr_rst:efx_resetsync_9f54396145b74975ae3dbe247cfd03f0(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +active_high.efx_resetsync_active_high:efx_asyncreg_9f54396145b74975ae3dbe247cfd03f0(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
   +genblk2.genblk1.efx_resetsync_rd_rst:efx_resetsync_9f54396145b74975ae3dbe247cfd03f0(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +active_high.efx_resetsync_active_high:efx_asyncreg_9f54396145b74975ae3dbe247cfd03f0(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
   +xefx_fifo_ram:efx_fifo_ram_9f54396145b74975ae3dbe247cfd03f0(FAMILY="TITANIUM",WR_DEPTH=4096,RD_DEPTH=16384,WDATA_WIDTH=32,WADDR_WIDTH=12,RADDR_WIDTH=14,OUTPUT_REG=0,ENDIANESS=1)	       1(1)	       0(0)	       0(0)	     10(10)	     0(0)	   16(16)	     0(0)	
   +xefx_fifo_ctl:efx_fifo_ctl_9f54396145b74975ae3dbe247cfd03f0(SYNC_CLK=0,MODE="FWFT",WR_DEPTH=4096,WADDR_WIDTH=12,RADDR_WIDTH=14,ASYM_WIDTH_RATIO=2,RAM_MUX_RATIO=4,ALMOST_FLAG=0,PROG_FULL_ASSERT=4,PROG_FULL_NEGATE=4,HANDSHAKE_FLAG=0)	     75(49)	       0(0)	     38(38)	      22(0)	     0(0)	     0(0)	     0(0)	
    +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_9f54396145b74975ae3dbe247cfd03f0(WIDTH=13)	       0(0)	       0(0)	       0(0)	     12(12)	     0(0)	     0(0)	     0(0)	
    +async_clk.wr2rd_addr_sync:efx_asyncreg_9f54396145b74975ae3dbe247cfd03f0(WIDTH=13,ACTIVE_LOW=0)	     26(26)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
    +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_9f54396145b74975ae3dbe247cfd03f0(WIDTH=13)	       0(0)	       0(0)	       0(0)	       9(0)	     0(0)	     0(0)	     0(0)	
     +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9f54396145b74975ae3dbe247cfd03f0(WIDTH=12)	       0(0)	       0(0)	       0(0)	       9(0)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9f54396145b74975ae3dbe247cfd03f0(WIDTH=11)	       0(0)	       0(0)	       0(0)	       9(0)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9f54396145b74975ae3dbe247cfd03f0(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9f54396145b74975ae3dbe247cfd03f0(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9f54396145b74975ae3dbe247cfd03f0(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9f54396145b74975ae3dbe247cfd03f0(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9f54396145b74975ae3dbe247cfd03f0(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9f54396145b74975ae3dbe247cfd03f0	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9f54396145b74975ae3dbe247cfd03f0(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9f54396145b74975ae3dbe247cfd03f0(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9f54396145b74975ae3dbe247cfd03f0(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
 +DR0:delay_reg(delay_level=1280)                           	 1280(1280)	   164(164)	       0(0)	       5(5)	     0(0)	     0(0)	     0(0)	
 +u_Sensor_Image_XYCrop:Sensor_Image_XYCrop(IMAGE_VSIZE_SOURCE=960,IMAGE_YSIZE_TARGET=720,PIXEL_DATA_WIDTH=8)	     35(35)	       0(0)	     23(23)	     32(32)	     0(0)	     0(0)	     0(0)	
 +ori_bayer2rgb:VIP_RAW8_RGB888(IMG_HDISP=1280,IMG_VDISP=720)	    248(56)	       0(0)	    139(86)	    201(59)	     0(0)	     4(0)	     0(0)	
  +u_VIP_Matrix_Generate_3X3_8Bit:VIP_Matrix_Generate_3X3_8Bit(IMG_HDISP=14'b010100000000,IMG_VDISP=14'b01011010000)	   192(148)	       0(0)	     53(13)	    142(98)	     0(0)	     4(0)	     0(0)	
   +u0_Line_Shift_RAM_8Bit:Line_Shift_RAM_8Bit(DATA_DEPTH=14'b010100000000)	     22(22)	       0(0)	     20(20)	     22(22)	     0(0)	     2(2)	     0(0)	
   +u1_Line_Shift_RAM_8Bit:Line_Shift_RAM_8Bit(DATA_DEPTH=14'b010100000000,DELAY_NUM=1)	     22(22)	       0(0)	     20(20)	     22(22)	     0(0)	     2(2)	     0(0)	
 +u_axi4_ctrl:axi4_ctrl(C_ID_LEN=4,C_RD_END_ADDR=3686400,C_W_WIDTH=32,C_R_WIDTH=32)	   382(179)	      22(2)	     99(24)	    191(80)	     0(0)	    14(0)	     0(0)	
  +Gen_FIFO_W32.u_W0_FIFO_32:W0_FIFO_32                     	      77(0)	      20(0)	      43(0)	      60(0)	     0(0)	     8(0)	     0(0)	
   +u_efx_fifo_top:efx_fifo_top_9133b310c90946e99246ad457ba54d5f(SYNC_STAGE=3,MODE="FWFT",DEPTH=2048,OPTIONAL_FLAGS=0,PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=1536,PROG_FULL_NEGATE=1536,PROGRAMMABLE_EMPTY="STATIC_SINGLE",PROG_EMPTY_ASSERT=127,PROG_EMPTY_NEGATE=127,ASYM_WIDTH_RATIO=6)	      77(4)	      20(0)	      43(0)	      60(0)	     0(0)	     8(0)	     0(0)	
    +xefx_fifo_ram:efx_fifo_ram_9133b310c90946e99246ad457ba54d5f(MODE="FWFT",WR_DEPTH=2048,WDATA_WIDTH=32,RDATA_WIDTH=128,WADDR_WIDTH=11,OUTPUT_REG=0)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     8(8)	     0(0)	
    +xefx_fifo_ctl:efx_fifo_ctl_9133b310c90946e99246ad457ba54d5f(SYNC_CLK=0,SYNC_STAGE=3,MODE="FWFT",WR_DEPTH=2048,WADDR_WIDTH=11,ASYM_WIDTH_RATIO=6,RAM_MUX_RATIO=4,ALMOST_FLAG=0,PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=1536,PROG_FULL_NEGATE=1536,PROGRAMMABLE_EMPTY="STATIC_SINGLE",PROG_EMPTY_ASSERT=127,PROG_EMPTY_NEGATE=127,HANDSHAKE_FLAG=0)	     73(73)	      20(0)	     43(43)	     60(24)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_9133b310c90946e99246ad457ba54d5f(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_9133b310c90946e99246ad457ba54d5f(STAGE=3,WIDTH=10)	       0(0)	     10(10)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_9133b310c90946e99246ad457ba54d5f(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9133b310c90946e99246ad457ba54d5f(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9133b310c90946e99246ad457ba54d5f(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9133b310c90946e99246ad457ba54d5f(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9133b310c90946e99246ad457ba54d5f(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9133b310c90946e99246ad457ba54d5f	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9133b310c90946e99246ad457ba54d5f(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9133b310c90946e99246ad457ba54d5f(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9133b310c90946e99246ad457ba54d5f(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_9133b310c90946e99246ad457ba54d5f(WIDTH=12)	       0(0)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_addr_sync:efx_fifo_datasync_9133b310c90946e99246ad457ba54d5f(STAGE=3,WIDTH=12)	       0(0)	     10(10)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_9133b310c90946e99246ad457ba54d5f(WIDTH=12)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9133b310c90946e99246ad457ba54d5f(WIDTH=11)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9133b310c90946e99246ad457ba54d5f(WIDTH=10)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9133b310c90946e99246ad457ba54d5f(WIDTH=9)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9133b310c90946e99246ad457ba54d5f(WIDTH=8)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9133b310c90946e99246ad457ba54d5f(WIDTH=7)	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9133b310c90946e99246ad457ba54d5f(WIDTH=6)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9133b310c90946e99246ad457ba54d5f	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9133b310c90946e99246ad457ba54d5f(WIDTH=4)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
  +Gen_RFIFO_32.u_R0_FIFO_32:R0_FIFO_32                     	     126(0)	       0(0)	      32(0)	      51(0)	     0(0)	     6(0)	     0(0)	
   +u_efx_fifo_top:efx_fifo_top_acec3874261e4a788712c2a22eb49f4c(FAMILY="TITANIUM",SYNC_STAGE=3,MODE="FWFT",DATA_WIDTH=128,PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=256,PROG_FULL_NEGATE=256,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=2,PROG_EMPTY_NEGATE=3,ASYM_WIDTH_RATIO=2)	     126(0)	       0(0)	      32(0)	      51(0)	     0(0)	     6(0)	     0(0)	
    +genblk2.genblk1.efx_resetsync_wr_rst:efx_resetsync_acec3874261e4a788712c2a22eb49f4c(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +active_high.efx_resetsync_active_high:efx_asyncreg_acec3874261e4a788712c2a22eb49f4c(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +genblk2.genblk1.efx_resetsync_rd_rst:efx_resetsync_acec3874261e4a788712c2a22eb49f4c(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +active_high.efx_resetsync_active_high:efx_asyncreg_acec3874261e4a788712c2a22eb49f4c(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +xefx_fifo_ram:efx_fifo_ram_acec3874261e4a788712c2a22eb49f4c(FAMILY="TITANIUM",RD_DEPTH=2048,WDATA_WIDTH=128,RDATA_WIDTH=32,RADDR_WIDTH=11,OUTPUT_REG=0)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     6(6)	     0(0)	
    +xefx_fifo_ctl:efx_fifo_ctl_acec3874261e4a788712c2a22eb49f4c(SYNC_CLK=0,SYNC_STAGE=3,MODE="FWFT",RADDR_WIDTH=11,ASYM_WIDTH_RATIO=2,RAM_MUX_RATIO=4,PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=256,PROG_FULL_NEGATE=256,PROG_EMPTY_ASSERT=2,PROG_EMPTY_NEGATE=3,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	    122(62)	       0(0)	     32(32)	     51(15)	     0(0)	     0(0)	     0(0)	
     +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_acec3874261e4a788712c2a22eb49f4c(WIDTH=12)	       0(0)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
     +async_clk.xrd2wr_addr_sync:efx_asyncreg_acec3874261e4a788712c2a22eb49f4c(ASYNC_STAGE=3,WIDTH=12,ACTIVE_LOW=0)	     30(30)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +async_clk.xrd2wr_gray2bin:efx_fifo_gray2bin_acec3874261e4a788712c2a22eb49f4c(WIDTH=12)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_acec3874261e4a788712c2a22eb49f4c(WIDTH=11)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_acec3874261e4a788712c2a22eb49f4c(WIDTH=10)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_acec3874261e4a788712c2a22eb49f4c(WIDTH=9)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_acec3874261e4a788712c2a22eb49f4c(WIDTH=8)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_acec3874261e4a788712c2a22eb49f4c(WIDTH=7)	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_acec3874261e4a788712c2a22eb49f4c(WIDTH=6)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_acec3874261e4a788712c2a22eb49f4c	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_acec3874261e4a788712c2a22eb49f4c(WIDTH=4)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
     +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_acec3874261e4a788712c2a22eb49f4c(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
     +async_clk.wr2rd_addr_sync:efx_asyncreg_acec3874261e4a788712c2a22eb49f4c(ASYNC_STAGE=3,WIDTH=10,ACTIVE_LOW=0)	     30(30)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_acec3874261e4a788712c2a22eb49f4c(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
